time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-01-12T06:57:08.730Z,41.6886,-71.5128,2.08,1.6,ml,,237,0.228,0.41,us,us10007wk5,2017-04-01T00:26:10.040Z,"1 km SE of West Warwick, Rhode Island",earthquake,2.4,5.4,0.115,10,reviewed,us,us
2016-06-01T02:29:05.290Z,42.7566,-70.0221,10.14,2.2,mb_lg,,158,0.947,0.47,us,us20005zic,2016-08-10T22:30:30.040Z,"50 km ENE of Rockport, Massachusetts",earthquake,4.4,2.8,0.154,11,reviewed,us,us
2016-02-22T01:47:40.500Z,42.4967,-71.4717,1.21,1.3,ml,,113,0.064,0.11,us,us10004s8l,2016-05-03T23:44:16.040Z,"3 km WNW of Acton, Massachusetts",earthquake,1,5.9,0.105,12,reviewed,us,us
2015-11-18T01:19:00.800Z,42.1955,-71.3988,4.59,1.5,ml,,71,0.197,0.33,us,us10003z6p,2016-11-20T15:03:47.068Z,"2 km ESE of Holliston, Massachusetts",earthquake,0.8,7.2,0.085,18,reviewed,us,us
2015-07-22T07:43:01.900Z,41.8179,-71.3804,18.66,2.3,ml,,76,0.153,0.49,us,us20002z5s,2022-07-31T20:01:14.813Z,"0 km WNW of East Providence, Rhode Island",earthquake,2.7,5,0.077,22,reviewed,us,us
2015-05-17T02:06:48.120Z,41.733,-72.9338,5,1.4,ml,,120,0.412,0.29,us,us10002a3u,2016-05-26T21:30:11.210Z,"6 km N of Bristol, Connecticut",earthquake,1.6,2,0.085,18,reviewed,us,us
2015-04-21T07:44:47.330Z,41.9683,-70.8143,6.03,1.8,ml,,199,0.037,0.36,us,us2000289t,2015-06-26T23:16:00.040Z,"1 km N of Plympton, Massachusetts",earthquake,1.3,2.7,0.081,20,reviewed,us,us
2015-02-24T14:18:26.790Z,41.7485,-71.8999,6.4,1.8,ml,,87,0.245,0.24,us,usc000tsrx,2016-05-26T21:29:32.680Z,"0 km ENE of Wauregan, Connecticut",earthquake,1.3,4.3,0.074,24,reviewed,us,us
2015-02-24T14:13:45.920Z,41.751,-71.8925,3.18,1.4,ml,,87,0.239,0.08,us,usc000tt0e,2015-05-12T20:29:44.040Z,"1 km ENE of Wauregan, Connecticut",earthquake,1.2,8.4,0.091,16,reviewed,us,us
2015-02-03T05:50:14.640Z,41.4355,-71.2512,5.98,2,ml,,230,0.119,0.48,us,usc000tlfm,2022-07-27T18:47:43.111Z,"7 km SE of Newport, Rhode Island",earthquake,2.9,4.3,0.128,8,reviewed,us,us
2015-01-15T22:50:52.990Z,41.7413,-71.8882,4.69,1,ml,,140,0.241,0.08,us,usc000tgm2,2015-04-20T15:34:47.040Z,"1 km E of Wauregan, Connecticut",earthquake,1.9,9.4,0.181,4,reviewed,us,us
2015-01-15T09:39:37.410Z,41.7557,-71.8988,5.93,2,ml,,86,0.241,0.4,us,usc000tfz2,2022-07-27T14:40:27.226Z,"1 km NE of Wauregan, Connecticut",earthquake,1.3,4.8,0.077,22,reviewed,us,us
2015-01-14T13:10:21.760Z,41.7452,-71.9014,4.28,1.5,ml,,130,0.248,0.16,us,usc000tft2,2022-08-03T16:34:06.662Z,"0 km E of Wauregan, Connecticut",earthquake,1.3,9.4,0.128,8,reviewed,us,us
2015-01-14T11:33:44.090Z,41.7462,-71.8983,8.81,1.8,ml,,88,0.245,0.42,us,usc000tflx,2016-05-26T21:29:10.720Z,"0 km ENE of Wauregan, Connecticut",earthquake,1.3,0.9,0.085,18,reviewed,us,us
